StateYear,Residential CO2 emissions per capita,Total domestic water use per capita,Total energy consumption per capita,Renewable energy consumption per capita,Petroleum product consumption per capita,Outcome,Average ranking
Ohio1986,38.0,7.0,17.0,8.0,23.0,R,19.0
New York1986,39.0,30.0,45.0,48.0,40.0,R,40.0
New Hampshire1986,40.0,9.0,13.0,27.0,48.0,R,27.0
Pennsylvania1986,41.0,3.0,42.0,35.0,39.0,R,32.0
Illinois1986,42.0,28.0,26.0,17.0,11.0,R,25.0
New Jersey1986,43.0,17.5,44.0,33.0,42.0,R,36.0
Vermont1986,44.0,21.5,2.0,5.0,49.0,R,24.0
Alaska1986,45.0,4.0,40.0,24.0,38.0,R,30.0
Connecticut1986,46.0,13.5,18.0,16.0,47.0,R,28.0
Michigan1986,47.0,17.5,48.0,43.0,30.0,R,37.0
Rhode Island1986,48.0,10.0,1.0,1.0,46.0,R,21.0
Massachusetts1986,49.0,11.0,25.0,21.0,45.0,R,30.0
Maine1986,50.0,15.0,7.0,25.0,50.0,R,29.0
Hawaii1987,1.0,48.0,20.0,27.0,1.0,R,19.0
Florida1987,2.0,46.0,26.0,18.0,6.0,R,20.0
Arizona1987,3.0,1.0,23.0,40.0,4.0,R,14.0
Tennessee1987,4.0,17.5,49.0,49.0,8.0,R,26.0
Oregon1987,5.0,38.0,22.0,47.0,15.0,R,25.0
Washington1987,6.0,45.0,50.0,50.0,19.0,R,34.0
Idaho1987,7.0,50.0,35.0,45.0,21.0,R,32.0
Mississippi1987,8.0,27.0,12.0,13.0,18.0,R,16.0
Texas1987,9.0,43.0,46.0,30.0,7.0,R,27.0
South Carolina1987,10.0,20.0,43.0,44.0,29.0,R,29.0
Louisiana1987,11.0,35.5,40.0,32.0,3.0,R,24.0
Alabama1987,12.0,29.0,33.0,42.0,14.0,R,26.0
Nevada1987,13.0,49.0,14.0,22.0,17.0,R,23.0
California1987,14.0,39.5,21.0,28.0,2.0,R,21.0
Georgia1987,15.0,33.0,32.0,31.0,13.0,R,25.0
North Carolina1987,16.0,6.0,48.0,46.0,35.0,R,30.0
Arkansas1987,17.0,34.0,30.0,37.0,22.0,R,28.0
Oklahoma1987,18.0,26.0,8.0,7.0,9.0,R,14.0
New Mexico1987,19.0,37.0,6.0,3.0,16.0,R,16.0
Kentucky1987,20.0,5.0,34.0,26.0,25.0,R,22.0
Virginia1987,21.0,17.5,41.0,41.0,34.0,R,31.0
North Dakota1987,22.0,25.0,4.0,4.0,39.0,R,19.0
Montana1987,23.0,35.5,9.0,38.0,27.0,R,26.0
West Virginia1987,24.0,23.0,11.0,9.0,20.0,R,17.0
Iowa1987,25.0,8.0,29.0,36.0,31.0,R,26.0
Colorado1987,26.0,39.5,24.0,17.0,10.0,R,23.0
Missouri1987,27.0,13.5,19.0,14.0,24.0,R,20.0
Nebraska1987,28.0,42.0,38.0,39.0,26.0,R,35.0
Utah1987,29.0,47.0,3.0,2.0,5.0,R,17.0
Maryland1987,30.0,32.0,15.0,12.0,33.0,R,24.0
Kansas1987,31.0,31.0,37.0,15.0,12.0,R,25.0
South Dakota1987,32.0,12.0,5.0,23.0,43.0,R,23.0
Minnesota1987,33.0,44.0,10.0,10.0,32.0,D,26.0
Indiana1987,34.0,21.5,36.0,21.0,28.0,R,28.0
Wyoming1987,35.0,41.0,16.0,8.0,38.0,R,28.0
Wisconsin1987,36.0,2.0,28.0,35.0,36.0,R,27.0
Ohio1987,37.0,7.0,17.0,11.0,23.0,R,19.0
Delaware1987,38.0,24.0,31.0,5.0,44.0,R,28.0
Illinois1987,39.0,28.0,27.0,20.0,11.0,R,25.0
Pennsylvania1987,40.0,3.0,42.0,34.0,37.0,R,31.0
New York1987,41.0,30.0,44.0,48.0,40.0,R,41.0
New Jersey1987,42.0,17.5,45.0,33.0,42.0,R,36.0
Michigan1987,43.0,17.5,47.0,43.0,30.0,R,36.0
Vermont1987,44.0,21.5,2.0,6.0,48.0,R,24.0
Alaska1987,45.0,4.0,39.0,29.0,41.0,R,32.0
Connecticut1987,46.0,13.5,18.0,16.0,47.0,R,28.0
New Hampshire1987,47.0,9.0,13.0,25.0,49.0,R,29.0
Massachusetts1987,48.0,11.0,25.0,19.0,45.0,R,30.0
Maine1987,49.0,15.0,7.0,24.0,50.0,R,29.0
Rhode Island1987,50.0,10.0,1.0,1.0,46.0,R,22.0
Hawaii1988,1.0,48.0,25.0,29.0,1.0,D,21.0
Florida1988,2.0,46.0,26.0,19.0,5.0,R,20.0
Arizona1988,3.0,1.0,22.0,33.0,4.0,R,13.0
Oregon1988,4.0,38.0,24.0,47.0,16.0,D,26.0
Washington1988,5.0,45.0,50.0,50.0,17.0,D,33.0
Tennessee1988,6.0,17.5,49.0,49.0,11.0,R,26.0
Mississippi1988,7.0,27.0,12.0,13.0,18.0,R,15.0
South Carolina1988,8.0,20.0,43.0,43.0,28.0,R,28.0
Texas1988,9.0,43.0,46.0,28.0,7.0,R,27.0
Idaho1988,10.0,50.0,35.0,45.0,23.0,R,33.0
Louisiana1988,11.0,35.5,40.0,32.0,3.0,R,24.0
Alabama1988,12.0,29.0,33.0,42.0,14.0,R,26.0
